summary,config,name,metrics
"{'_runtime': 4437.917379511, '_step': 49, '_timestamp': 1746971023.201168, '_wandb': {'runtime': 4437}, 'train/epoch_time': 84.47253322601318, 'train/loss': 3.2663510835089653, 'train/ppl': 26.30908103216262, 'train/update_time': 0.2183699607849121, 'val/epoch_time': 3.876701831817627, 'val/loss': 4.527698782182509, 'val/ppl': 96.48773537912676}","{'lr': 0.001, 'eta': None, 'name': 'TopK_0.001', 'strategy': 'TopK', 'num_steps': None, 'optimizer': 'CAdamW', 'num_epochs': 50, 'param_usage': 0.01, 'update_task': None, 'num_restarts': 1, 'error_correction': None}",TopK_0.001_restart_0,"{'train/loss': [6.9444255374726795, 6.106504959314048, 5.787893444502434, 5.575758908070674, 5.41032767782406, 5.280139605204265, 5.186883754470721, 5.08381715761561, 4.992988781053192, 4.916730144396931, 4.848954508904697, 4.760188355737803, 4.690099917301516, 4.617828813539881, 4.5555031737502745, 4.491258712041946, 4.4200970948147935, 4.36584117136845, 4.312480774055532, 4.257498666542728, 4.204453941916122, 4.15876444018617, 4.111861829044057, 4.062942209697905, 4.025759679119603, 3.9795222022906453, 3.9429117141126775, 3.9053917287969266, 3.868137927282424, 3.8328545693637563, 3.795080146011041, 3.76095969822942, 3.7406150045849027, 3.6980386818347335, 3.666236699032946, 3.630566791612275, 3.59713948016264, 3.571313120069958, 3.5422574549305197, 3.5093911213128743, 3.484964519941888, 3.463458080681003, 3.435021719964994, 3.4110234432479962, 3.3873849061070658, 3.3587339848888162, 3.3364127558104846, 3.312198901663021, 3.290450310220524, 3.2663510835089653], 'train/ppl': [21854.433419779045, 452.61523831944885, 327.493240252644, 264.71567467929555, 224.1500792211416, 196.84517996651786, 179.3862237216664, 161.85415763595478, 147.7607624287508, 136.95226734187327, 128.00299518611155, 117.13233812812234, 109.21972905373087, 101.58896777094627, 95.5133948293673, 89.51076299965787, 83.43435035757467, 79.00304636014562, 74.86108141529317, 70.85287114876468, 67.23245348249164, 64.22531805233079, 61.29925539704407, 58.39603343626269, 56.29162997291202, 53.699356805710565, 51.80578182505913, 49.89424452489736, 48.04284372135084, 46.37330886944621, 44.731100718180336, 43.17096994361099, 42.26336867144319, 40.54151467563344, 39.280492834493415, 37.89145502103429, 36.64497764743104, 35.709886537928156, 34.66648963357316, 33.572103539291696, 32.75819866673476, 32.0636912365349, 31.153383968638725, 30.43964436589455, 29.692759779845776, 28.87206219004936, 28.235994079486044, 27.559239303173662, 26.971658979143417, 26.30908103216262], 'val/loss': [5.759382570943525, 5.408650044471987, 5.23308846258348, 5.1259968972975205, 5.042617943979079, 4.981497756896481, 4.918012611327633, 4.884479530396, 4.864528540642031, 4.8314143688448015, 4.788732036467521, 4.764643969074372, 4.748851537704468, 4.717191096275084, 4.692449554320304, 4.656857229048206, 4.6477255205954275, 4.650466742054109, 4.626669199235978, 4.594346461757537, 4.590042291149016, 4.599410956905734, 4.5638687072261686, 4.549231948391084, 4.534903956997779, 4.541933355792876, 4.514809085476783, 4.513309624887282, 4.513600757045131, 4.501606125985423, 4.488507093921784, 4.484870822198929, 4.484907273323305, 4.503407186077487, 4.473578883755591, 4.49120706512082, 4.479911050488872, 4.4646716810041855, 4.485670366594868, 4.486372997683864, 4.488496934213946, 4.485933826815698, 4.483913237048734, 4.490335506777609, 4.499109506607056, 4.491564250761463, 4.502338917024674, 4.528748412286082, 4.517503476911975, 4.527698782182509], 'val/ppl': [327.9352535124748, 229.86207752843058, 192.69378059141098, 173.18984690020162, 158.84307307581747, 149.6739056494928, 140.52452924174648, 135.9433521147697, 133.22059360627205, 129.04094769877773, 123.80772572178995, 120.87238840903005, 119.11301335980815, 115.32738297985446, 112.63754469348538, 108.78747355553412, 107.91272932483304, 108.23249484646705, 105.67530521269768, 102.17064371416646, 101.80934106149981, 102.69772443463725, 99.27899717515514, 97.72414281291347, 96.49703641091624, 97.25385893544843, 94.69501852220104, 94.46780044801774, 94.59737340865597, 93.50414965229649, 92.23766862192461, 91.82974310844175, 91.91216191937846, 93.7075859192879, 90.97676024898406, 92.78845497869676, 91.53246110485446, 90.18127195296749, 92.2646961827432, 92.19525577176002, 92.54835940945533, 92.22875841202274, 92.20591803519956, 92.87245387415732, 93.65130196848223, 92.9160984408471, 94.06247883458292, 96.62172243672032, 95.46782112121582, 96.48773537912676]}"
"{'_runtime': 4398.923424117, '_step': 49, '_timestamp': 1746975423.8453715, '_wandb': {'runtime': 4398}, 'train/epoch_time': 87.08936882019043, 'train/loss': 2.223493206257723, 'train/ppl': 9.257991093356592, 'train/update_time': 0.36967968940734863, 'val/epoch_time': 3.591726779937744, 'val/loss': 4.90617379834575, 'val/ppl': 142.57382829727666}","{'lr': 0.0001, 'eta': None, 'name': 'TopK_EF_0.0001', 'strategy': 'TopK', 'num_steps': None, 'optimizer': 'CAdamW', 'num_epochs': 50, 'param_usage': 0.01, 'update_task': None, 'num_restarts': 1, 'error_correction': 'EF'}",TopK_EF_0.0001_restart_0,"{'train/loss': [7.763751925254355, 6.600807413762929, 6.302739467750601, 6.072681650823476, 5.875327879068803, 5.707341995369009, 5.576840958627714, 5.465545800267433, 5.375819780388657, 5.2610313032760105, 5.169417134758566, 5.086952147840643, 5.006191331513074, 4.930160142937485, 4.852679920845291, 4.790722532337215, 4.706563291095552, 4.630863783310871, 4.5598047087792635, 4.482822852880776, 4.413766708503775, 4.3344150984368355, 4.2607949217971495, 4.185927045588591, 4.097805300537421, 4.0188041090154325, 3.9482820471938775, 3.8685321548358114, 3.7919771671295166, 3.709436476636095, 3.6291454908799152, 3.559945111372033, 3.4799653818818177, 3.406052594282189, 3.323899760538218, 3.247236894101513, 3.172944977169945, 3.087551937622278, 3.0104792701954746, 2.9406379631587436, 2.8639389819839374, 2.7912722525953435, 2.7227586888942588, 2.6475984871792955, 2.562136098641117, 2.493104266471603, 2.4373942864995426, 2.368413886245416, 2.2894507962830213, 2.223493206257723], 'train/ppl': [4226.133595992108, 742.2651612158535, 548.1945817389455, 435.3792635340269, 357.15396159684576, 301.6738204437048, 264.6764874101496, 236.92110251082855, 216.53745814732142, 193.08504345952247, 176.15120421948077, 162.25229629205197, 149.66712105679673, 138.71452170650974, 128.4338514885935, 120.6327716541939, 110.98675874463555, 102.88212222144718, 95.7778836204892, 88.70932681544298, 82.82613323497124, 76.49066714851223, 71.11347655211988, 65.98421548337353, 60.44603036374462, 55.80714102505016, 52.05468298464405, 48.03334860250252, 44.47090709452726, 40.964456519302054, 37.84781141994762, 35.27902557736351, 32.548271840932415, 30.235578498061823, 27.864525178662774, 25.794130532919954, 23.957509605252014, 21.98428604229778, 20.35161201321349, 18.98756201088834, 17.58298242011038, 16.35593180753747, 15.269590844913404, 14.159120313164328, 12.994677608515941, 12.135608575781998, 11.473590831367337, 10.711355942447168, 9.896185728968407, 9.257991093356592], 'val/loss': [6.245112003818635, 5.82739358563577, 5.6192370230151765, 5.458260643866755, 5.301176755659042, 5.215363910121303, 5.132510385205669, 5.076575102344636, 5.0285938862831365, 4.946794671397055, 4.898172686176915, 4.85206804736968, 4.8295849753964335, 4.782291420044437, 4.756503582000732, 4.729922086961808, 4.696522935744254, 4.66404862557688, 4.631671736317296, 4.6101997206288, 4.573804155472787, 4.5578600283591975, 4.51802082215586, 4.492799228237521, 4.471590991943113, 4.448135541331384, 4.432914560840976, 4.42843085335147, 4.414915680885315, 4.420930954717821, 4.405573725700378, 4.4078689082976314, 4.410051638080228, 4.416321765991949, 4.411713046412314, 4.424888099393537, 4.446966828838471, 4.495061624434687, 4.4994347018580285, 4.486686675779281, 4.535567133657394, 4.574140441033148, 4.597581713430343, 4.643655542404421, 4.682234552598769, 4.72787046047949, 4.766708381714359, 4.798260681090817, 4.848748230165051, 4.90617379834575], 'val/ppl': [533.6194905927105, 351.2909371160692, 284.2062001382151, 241.60433590796686, 206.1061056813886, 188.64329959500222, 173.75725961500598, 164.40235470187278, 156.48855307794386, 144.2421668268019, 137.39894030171055, 131.29199280277376, 128.40393472486926, 122.54695572391633, 119.52880564043599, 116.416321908274, 112.68986031316942, 109.11616226934618, 105.69776873434743, 103.59437567187894, 99.8313858278336, 98.31828523451283, 94.48578600729665, 92.24490965566328, 90.36582774500692, 88.24251113399383, 87.06320362706339, 86.70043902243337, 85.6618341630505, 86.3782431694769, 84.92337485282651, 85.24635991742534, 85.35416658463016, 86.13837174446353, 85.64402278777092, 86.91128890745101, 88.95110493321573, 93.23747764095184, 93.95233646515877, 92.59018627289802, 97.43280324628276, 101.22545014658282, 103.84347115793535, 108.92554676917291, 113.07484589853594, 118.54585370709819, 123.71746598520586, 127.6756303233485, 134.15299507879442, 142.57382829727666]}"
"{'_runtime': 3103.249841085, '_step': 49, '_timestamp': 1746982925.2390857, '_wandb': {'runtime': 3103}, 'train/epoch_time': 57.66185879707336, 'train/loss': 1.6944524706626425, 'train/ppl': 5.452223810208898, 'train/update_time': 0.15700411796569824, 'val/epoch_time': 2.282278060913086, 'val/loss': 6.053072583290838, 'val/ppl': 477.3538491033739}","{'lr': 0.001, 'eta': None, 'name': 'SCAM_TopK_0.001', 'strategy': 'SCAM_TopK', 'num_steps': None, 'optimizer': 'CAdamW', 'num_epochs': 50, 'param_usage': 0.01, 'update_task': None, 'num_restarts': 1, 'error_correction': 'EF'}",SCAM_TopK_0.001_restart_0,"{'train/loss': [7.187681681444856, 6.23180746545597, 5.721459988834096, 5.362194528385085, 5.091143880571638, 4.865910880419673, 4.6706276750888955, 4.493042316566519, 4.325660715297777, 4.17298057127972, 4.031707006246865, 3.902160642909355, 3.770804851233554, 3.6582368360895687, 3.5536636024916253, 3.448782609433544, 3.3510679485035593, 3.2621610310612894, 3.1752043143421615, 3.090912387484596, 3.0177709731925915, 2.937635478519258, 2.864926274941892, 2.798982164486736, 2.7316339259244957, 2.669870310089215, 2.610032251902989, 2.5507567691154223, 2.4954124648554794, 2.44131909422323, 2.3894262670659696, 2.3413212299346924, 2.293391232587853, 2.245042311091001, 2.2019837567595397, 2.1596957566786785, 2.119461489372513, 2.0776924162494894, 2.040680640408782, 2.0030978034142732, 1.965624299179129, 1.934644120891078, 1.9014269251401732, 1.868491259561915, 1.8364250449096264, 1.8054669089868767, 1.7794124861152805, 1.7470229645164645, 1.7216106369381858, 1.6944524706626425], 'train/ppl': [4729.859583848188, 516.0088681590801, 307.5348502438085, 214.08100050322864, 162.9579749074923, 130.19669061777543, 107.12547919863746, 89.68781498500279, 75.84733719079672, 65.11926993545221, 56.576498330044906, 49.67261562217661, 43.58363560267857, 38.92352985200428, 35.0833132348093, 31.566353583822444, 28.64155151730492, 26.201085084149625, 24.012312636083486, 22.066862599379352, 20.512492990818153, 18.933556439925212, 17.598217834420755, 16.48777927995539, 15.410586272778154, 14.484737707644094, 13.643846193949381, 12.861249560401554, 12.164253474903756, 11.52246194956254, 10.947632945313746, 10.42199132880386, 9.93263813589706, 9.46501974508065, 9.065453415825253, 8.69173559850576, 8.345783486658213, 8.004876273018974, 7.709679840373344, 7.426066116410858, 7.155345209601785, 6.935786967374841, 6.709590006847771, 6.491752887258724, 6.285370317446131, 6.096457325682348, 5.937381880623954, 5.748391157915803, 5.60501765880455, 5.452223810208898], 'val/loss': [5.93773179669534, 5.438152251705047, 5.122475970175959, 4.955000100597259, 4.83702608846849, 4.753541400355678, 4.696750340923186, 4.65034556388855, 4.5921831130981445, 4.560447077597341, 4.536776765700309, 4.518112709445338, 4.500892466114413, 4.5087262007497975, 4.524602709277984, 4.521769554384293, 4.546420274242278, 4.56942407931051, 4.595548456714999, 4.635721779638721, 4.6603366559551604, 4.702105714428809, 4.7243391698406585, 4.779633852743333, 4.79719264276566, 4.868511092278265, 4.909233416280439, 4.973274884685393, 5.00150449814335, 5.050339306554487, 5.097476605446108, 5.149169291219404, 5.190448784059094, 5.247583035499819, 5.292203264851724, 5.344391522868987, 5.4202198213146575, 5.4806272983551025, 5.51507995974633, 5.569314710555538, 5.618448449719336, 5.641715695781093, 5.695650846727433, 5.750028425647367, 5.837655228953207, 5.8346425794786025, 5.884962651037401, 5.923751484963201, 5.992577906577818, 6.053072583290838], 'val/ppl': [392.12345172512914, 237.20036217474168, 172.30617781608336, 145.73492788499402, 129.42475251228578, 119.2242819263089, 112.73401814122354, 107.83876092972294, 101.74485871099657, 98.73978977818643, 96.52557090020949, 94.92421550135458, 93.42052853491998, 94.25746899266397, 96.0117378850137, 95.78113408242503, 98.36022684651036, 100.78086840721869, 103.71573263599026, 108.1435904964324, 111.09874860702023, 116.05304244256789, 118.9945063437185, 125.82976827313823, 128.29941380408502, 138.26727787140877, 144.11235532452983, 154.14323105350618, 159.1302758493731, 167.03450812062908, 175.5742301940918, 184.98130810645318, 193.2147992041803, 205.31593778056484, 214.9552143466088, 227.55641924950385, 246.84102101479806, 263.12023716588175, 272.652832523469, 287.9210816660235, 303.4814877663889, 309.65417997298704, 328.01962181829634, 347.0736141820108, 380.4063944662771, 379.7961164905179, 400.81976342970324, 416.13944465883316, 448.23676570769277, 477.3538491033739]}"
"{'_runtime': 9221.525183987, '_step': 49, '_timestamp': 1746909176.443925, '_wandb': {'runtime': 9221}, 'train/epoch_time': 179.88442063331604, 'train/loss': 1.616785403822555, 'train/ppl': 5.044685740049194, 'train/update_time': 42.819944858551025, 'val/epoch_time': 7.850909233093262, 'val/loss': 6.2594979581562615, 'val/ppl': 662.1706186364054}","{'lr': 0.001, 'eta': None, 'name': 'SCAM_b_EF_0.001', 'strategy': 'SCAM', 'num_steps': None, 'optimizer': 'CAdamW', 'num_epochs': 50, 'param_usage': 0.01, 'update_task': 'mirror_descent', 'num_restarts': 1, 'update_kwargs': {'eta': 10000000, 'num_steps': 50, 'lambda_value': 0.0001}, 'error_correction': 'EF'}",SCAM_b_EF_0.001_restart_0,"{'train/loss': [7.169566287475378, 6.166281301148084, 5.650264113938728, 5.305443312846074, 5.036384164070596, 4.816012836637951, 4.621102112491115, 4.448361195674559, 4.281080291384742, 4.128369740077427, 3.9850211840908543, 3.853681638938229, 3.733141694750105, 3.615411870333613, 3.50803280849846, 3.401377405439104, 3.300643220239756, 3.213569856825329, 3.1250595284157057, 3.042212453829188, 2.961561141370916, 2.8855938489745263, 2.8150626591273715, 2.7428981690179732, 2.6766945002030353, 2.6137743758506518, 2.5501177359600455, 2.491769451673339, 2.434663994782636, 2.3784962511387002, 2.3253773134581897, 2.2778097902025496, 2.2312315759204684, 2.183299673657839, 2.137981443178086, 2.0935646911867622, 2.0550188369491473, 2.012526801654271, 1.9738297973360335, 1.9377787226722354, 1.89844937957063, 1.8644751821245467, 1.8304222011241784, 1.7982832525863128, 1.7639733398852706, 1.7369444102657086, 1.7034136892176, 1.672655735697065, 1.6474825306003595, 1.616785403822555], 'train/ppl': [7262.551357139536, 484.1902019474782, 286.2275415537309, 202.25567076806308, 154.25744322692455, 123.86405908493768, 101.94142675075402, 85.77196074505241, 72.54169889696601, 62.27823986650324, 53.99043639825315, 47.32616333734421, 41.9735026067617, 37.29230918365271, 33.51751562365058, 30.111855539334876, 27.231637578432252, 24.96434515349719, 22.837255698483006, 21.020250255558768, 19.389397433014953, 17.973480471137428, 16.743429826230418, 15.5856192776946, 14.587825502668109, 13.693567807982568, 12.848591162233937, 12.124516921789468, 11.44837392430727, 10.81854009952675, 10.266555760182491, 9.781562234268707, 9.333079990075559, 8.898365614365558, 8.501899900890532, 8.135641915457589, 7.825278781709217, 7.500313901576866, 7.211579121699949, 6.957003246359274, 6.689929300425004, 6.466034980047317, 6.248329441563612, 6.051478930882046, 5.846057285256937, 5.691306140147099, 5.5030444819910995, 5.335645990306828, 5.2041269127203496, 5.044685740049194], 'val/loss': [5.884917002457839, 5.363906568843826, 5.075395797428332, 4.9180204154026175, 4.8180820237287145, 4.734121077456455, 4.677554487699439, 4.638965357653043, 4.596144100915082, 4.573888019028946, 4.562672802311206, 4.559235813164035, 4.5438211466136735, 4.5611461067971915, 4.574266326572248, 4.587649679377011, 4.6128703515056655, 4.627657804411915, 4.685178512503744, 4.714848717214608, 4.7430608137416455, 4.77983656006786, 4.804722700041798, 4.893080981636819, 4.9056434303160135, 4.957271944656063, 5.044884046562287, 5.058445645730022, 5.094374649920444, 5.195223116199014, 5.243629300159964, 5.284449645864819, 5.340317007018487, 5.3872909111532605, 5.487893247411319, 5.517325251691254, 5.553951555900728, 5.635508241923715, 5.668270374599256, 5.733316161854547, 5.777135702279898, 5.811681696277881, 5.943047440486398, 5.951565950023018, 5.992951998343835, 6.078964986299214, 6.129260597923989, 6.19531387645706, 6.229067157637252, 6.2594979581562615], 'val/ppl': [381.24284032288836, 224.8481222299429, 167.98661038170943, 143.3569616711574, 129.5625078456122, 119.38669709734589, 113.00228398435029, 108.900494772413, 104.45437211256761, 102.59048077355513, 101.81858948464335, 101.72055077649321, 100.51499823133955, 102.50434613710473, 104.25946045694081, 105.99417339741943, 109.13021007337068, 111.15057109724656, 118.15879163085691, 122.09454033731932, 126.02635819130099, 131.26858880355772, 134.95189687597608, 148.8324784344507, 150.56319579614802, 159.69126454249084, 175.28691601463657, 177.82371862311112, 185.80039530147909, 207.11339685694892, 218.05360597154873, 227.54209111480094, 241.63207479623648, 253.6678972282873, 284.3605134323058, 293.71291441666455, 306.0676240959631, 334.43690189562346, 346.5116302860893, 371.0846538003157, 389.6486514628175, 404.30084643962414, 467.69713864345783, 471.92781369599254, 495.4289560202162, 545.9266902599257, 576.0507700066818, 620.1712205091469, 641.508365306777, 662.1706186364054]}"
